trade_id,signal_id,symbol,strategy_id,regime,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,qty,position_size_usd,entry_notional_usd,exit_notional_usd,avg_notional_usd,round_trip_notional_usd,fee_bps_on_combined_notional,fee_bps_on_entry_notional,equity_at_entry_usd,risk_amount_usd,risk_per_unit_usd,stop_distance_bps,risk_pct_of_equity,leverage_used,gross_pnl,fee,slippage,net_pnl,reward_risk,bars_held,exit_reason,entry_reason,filters_passed,filters_failed,expected_edge_bps,actual_edge_bps
TRD-SIG-BT-00000001,SIG-BT-00000001,BTCUSDT,ema_trend_pullback_v1,bullish,long,1578321900000,1578325500000,7547.890000,7520.725195,7520.725195,7588.637208,0.27609253,2083.916084,2083.916084,2076.416084,2080.166084,4160.332168,5.000000,9.982005,5000.000000,7.500000,27.164805,35.989933,0.150000,0.416783,-7.500000,2.080166,0.000000,-9.580166,1.500000,5,stop_loss,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,43.984899,-45.971938
TRD-SIG-BT-00000002,SIG-BT-00000002,BTCUSDT,ema_trend_pullback_v1,bullish,long,1578399300000,1578399300000,7900.020000,7873.009190,7873.009190,7940.536215,0.27713459,2189.368791,2189.368791,2181.883161,2185.625976,4371.251951,5.000000,9.982905,4990.419834,7.485630,27.010810,34.190812,0.150000,0.438714,-7.485630,2.185626,0.000000,-9.671256,1.500000,1,stop_loss,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,41.286219,-44.173717
TRD-SIG-BT-00000003,SIG-BT-00000003,BTCUSDT,ema_trend_pullback_v1,bullish,long,1578478500000,1578487500000,8343.550000,8299.545379,8299.545379,8409.556931,0.16978042,1416.571395,1416.571395,1409.100272,1412.835834,2825.671668,5.000000,9.973630,4980.748578,7.471123,44.004621,52.740885,0.150000,0.284409,-7.471123,1.412836,0.000000,-8.883959,1.500000,11,stop_loss,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,69.111327,-62.714514
TRD-SIG-BT-00000004,SIG-BT-00000004,BTCUSDT,ema_trend_pullback_v1,bullish,long,1578748500000,1578759300000,8078.330000,8131.949884,8042.583411,8131.949884,0.20862961,1685.378837,1685.378837,1696.565532,1690.972184,3381.944369,5.000000,10.033187,4971.864619,7.457797,35.746589,44.249974,0.150000,0.338983,11.186695,1.690972,0.000000,9.495723,1.500000,13,take_profit,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,56.374961,56.341773
TRD-SIG-BT-00000005,SIG-BT-00000005,BTCUSDT,ema_trend_pullback_v1,bullish,long,1578998700000,1579005000000,8515.720000,8481.317340,8481.317340,8567.323990,0.21719368,1849.560605,1849.560605,1842.088565,1845.824585,3691.649170,5.000000,9.979800,4981.360343,7.472041,34.402660,40.399003,0.150000,0.371296,-7.472041,1.845825,0.000000,-9.317865,1.500000,8,stop_loss,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,50.598505,-50.378804
TRD-SIG-BT-00000006,SIG-BT-00000006,BTCUSDT,ema_trend_pullback_v1,bullish,long,1579121100000,1579122900000,8797.620000,8862.323078,8754.484615,8862.323078,0.17289897,1521.099437,1521.099437,1532.286532,1526.692985,3053.385969,5.000000,10.036773,4972.042478,7.458064,43.135385,49.030744,0.150000,0.305930,11.187096,1.526693,0.000000,9.660403,1.500000,3,take_profit,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,63.546116,63.509343
TRD-SIG-BT-00000007,SIG-BT-00000007,BTCUSDT,ema_trend_pullback_v1,bullish,long,1579132800000,1579133700000,8825.350000,8783.851284,8783.851284,8887.598074,0.18006712,1589.155374,1589.155374,1581.682820,1585.419097,3170.838194,5.000000,9.976489,4981.702880,7.472554,41.498716,47.022176,0.150000,0.318998,-7.472554,1.585419,0.000000,-9.057973,1.500000,2,stop_loss,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,60.533264,-56.998665
TRD-SIG-BT-00000008,SIG-BT-00000008,BTCUSDT,ema_trend_pullback_v1,bullish,long,1579281300000,1579290300000,8910.000000,8865.997108,8865.997108,8976.004338,0.16951084,1510.341622,1510.341622,1502.882655,1506.612138,3013.224277,5.000000,9.975307,4972.644907,7.458967,44.002892,49.385962,0.150000,0.303730,-7.458967,1.506612,0.000000,-8.965579,1.500000,11,stop_loss,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,64.078943,-59.361269
TRD-SIG-BT-00000009,SIG-BT-00000009,BTCUSDT,ema_trend_pullback_v1,bullish,long,1579292100000,1579305600000,8916.260000,8869.444746,8869.444746,8986.482881,0.15904045,1418.045998,1418.045998,1410.600479,1414.323239,2828.646478,5.000000,9.973747,4963.679327,7.445519,46.815254,52.505483,0.150000,0.285684,-7.445519,1.414323,0.000000,-8.859842,1.500000,16,stop_loss,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,68.758224,-62.479230
TRD-SIG-BT-0000000A,SIG-BT-0000000A,BTCUSDT,ema_trend_pullback_v1,bullish,long,1580207400000,1580210100000,9029.600000,9088.848415,8990.101056,9088.848415,0.18816273,1699.034229,1699.034229,1710.182573,1704.608401,3409.216802,5.000000,10.032808,4954.819485,7.432229,39.498944,43.743846,0.150000,0.342905,11.148344,1.704608,0.000000,9.443735,1.500000,4,take_profit,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,55.615770,55.582962
