bucket,trades,wins,losses,win_rate,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,avg_net_pnl_bps,net_pnl
edge_lt_0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
edge_0_5,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
edge_5_10,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
edge_10_15,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
edge_15_20,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
edge_20_30,99,23,76,23.232323,25.656599,-20.057740,-45.714339,17.837051,-20.057740,-1363.746152
edge_30_50,90,12,78,13.333333,39.162248,-27.637673,-66.799921,18.327747,-27.637673,-1391.708544
edge_gte_50,4,1,3,25.000000,50.989446,-18.527631,-69.517078,17.749533,-18.527631,-25.028767
