trade_id,signal_id,symbol,strategy_id,regime,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,net_pnl,reward_risk,bars_held,exit_reason,entry_reason,filters_passed,filters_failed,expected_edge_bps,actual_edge_bps
TRD-SIG-BT-00000072,SIG-BT-00000072,BTCUSDT,mean_revert_v1,bullish,long,1679269620000,1679269620000,28095.517980,28057.781780,28063.394459,28165.375652,0.20026797,-7.557352,4.498283,6.187784,-18.243419,2.174658,1,stop_loss,"mean_revert_v1 ext_atr=-2.17, wick=0.60, close_location=0.60, vol=1.53, atr_bps=11.4",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,11.864347,-32.423336
TRD-SIG-BT-00000073,SIG-BT-00000073,BTCUSDT,mean_revert_v1,bullish,long,1679270580000,1679270640000,28013.101500,27968.812904,27974.407785,28097.139276,0.16555524,-7.332209,3.707240,5.100021,-16.139470,2.171872,2,stop_loss,"mean_revert_v1 ext_atr=-2.17, wick=0.41, close_location=0.77, vol=1.13, atr_bps=13.8",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,16.999454,-34.800472
TRD-SIG-BT-00000074,SIG-BT-00000074,BTCUSDT,mean_revert_v1,bullish,long,1679296860000,1679298000000,27824.463780,27973.350453,27777.512885,27978.946242,0.13592367,20.237223,3.033698,2.273250,14.930276,3.290299,20,take_profit,"mean_revert_v1 ext_atr=-3.29, wick=0.60, close_location=0.60, vol=1.11, atr_bps=16.9",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,42.520374,39.477162
TRD-SIG-BT-00000075,SIG-BT-00000075,BTCUSDT,mean_revert_v1,bullish,short,1679298240000,1679298300000,28124.773920,28195.510793,28189.872819,28043.739880,0.09837545,-6.958772,2.216213,3.044858,-12.219843,1.244784,2,stop_loss,"mean_revert_v1 ext_atr=1.24, wick=0.55, close_location=0.89, vol=3.07, atr_bps=23.1",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,15.812335,-44.166180
TRD-SIG-BT-00000076,SIG-BT-00000076,BTCUSDT,mean_revert_v1,bullish,long,1679305080000,1679306100000,28087.216320,28186.764660,28030.672334,28192.403141,0.11293515,11.242507,2.542124,1.905469,6.794913,1.860265,18,take_profit,"mean_revert_v1 ext_atr=-1.86, wick=0.78, close_location=0.95, vol=3.90, atr_bps=20.1",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,24.450070,21.421313
TRD-SIG-BT-00000077,SIG-BT-00000077,BTCUSDT,mean_revert_v1,bullish,long,1679307300000,1679307360000,28090.717020,28027.705138,28033.311800,28164.812220,0.11141837,-7.020681,2.501049,3.441400,-12.963130,1.290740,2,stop_loss,"mean_revert_v1 ext_atr=-1.29, wick=0.65, close_location=0.90, vol=6.03, atr_bps=20.4",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,13.377112,-41.418108
TRD-SIG-BT-00000078,SIG-BT-00000078,BTCUSDT,mean_revert_v1,bullish,long,1679310300000,1679311020000,28071.313140,28134.529801,28036.130147,28140.157832,0.18123959,11.457362,4.074690,3.054872,4.327800,1.956761,13,take_profit,"mean_revert_v1 ext_atr=-1.96, wick=0.47, close_location=0.68, vol=1.08, atr_bps=12.5",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,11.524928,8.506510
TRD-SIG-BT-00000079,SIG-BT-00000079,BTCUSDT,mean_revert_v1,bullish,long,1679314800000,1679314920000,28093.517580,28143.648180,28061.031290,28149.278035,0.19648421,9.849871,4.419886,3.313930,2.116055,1.716430,3,take_profit,"mean_revert_v1 ext_atr=-1.72, wick=0.75, close_location=0.79, vol=1.06, atr_bps=11.6",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,6.848157,3.833480
TRD-SIG-BT-00000080,SIG-BT-00000080,BTCUSDT,mean_revert_v1,bullish,long,1679317680000,1679317800000,28121.423160,28086.702949,28092.321413,28175.052703,0.21944446,-7.619158,4.933825,6.786675,-19.339658,1.842829,3,stop_loss,"mean_revert_v1 ext_atr=-1.84, wick=0.95, close_location=1.00, vol=2.45, atr_bps=10.4",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,6.070707,-31.339126
TRD-SIG-BT-00000081,SIG-BT-00000081,BTCUSDT,mean_revert_v1,bullish,long,1679318700000,1679318880000,28087.016280,28049.725895,28055.336962,28144.254438,0.20067376,-7.483202,4.506068,6.198463,-18.187733,1.806799,4,stop_loss,"mean_revert_v1 ext_atr=-1.81, wick=0.51, close_location=0.96, vol=1.93, atr_bps=11.3",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,7.378867,-32.268768
