trade_id,signal_id,month,symbol,strategy_id,regime,side,entry_time,exit_time,duration_ms,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,total_cost,net_pnl,reward_risk,bars_held,exit_reason,expected_edge_bps,actual_edge_bps,edge_realization_bps,fee_bps,slippage_bps,total_cost_bps,net_pnl_bps,filters_passed,filters_failed,entry_reason
TRD-SIG-BT-0000000F,SIG-BT-0000000F,2022-06,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1655924340000,1655924640000,300000,20200.359120,20242.787869,20238.740120,20117.423093,0.314664,-13.350796,5.090399,6.994626,12.085025,-25.435821,2.160862,6,stop_loss,28.056709,-40.016559,-68.073268,8.008402,11.004200,19.012602,-40.016559,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-00000010,SIG-BT-00000010,2022-06,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1656577740000,1656579540000,1800000,19315.736080,19217.102062,19357.266021,19213.259411,0.289274,28.532242,4.458617,3.346817,7.805434,20.726808,2.467537,31,take_profit,40.053463,37.094710,-2.958753,7.979574,5.989789,13.969364,37.094710,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-00000011,SIG-BT-00000011,2022-07,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1658795220000,1658798760000,3540000,21095.480060,21033.505860,21160.742172,20946.401793,0.184875,11.457490,3.115441,2.337727,5.453168,6.004322,2.284300,60,time_exit,57.668345,15.395577,-42.272768,7.988249,5.994126,13.982375,15.395577,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-00000012,SIG-BT-00000012,2022-07,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1659305460000,1659306060000,600000,23502.798500,23407.771874,23546.378987,23403.091255,0.277196,26.341038,5.201376,3.903668,9.105044,17.235994,2.287887,11,take_profit,29.423563,26.456305,-2.967258,7.983827,5.991915,13.975743,26.456305,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-00000013,SIG-BT-00000013,2022-08,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1660731540000,1660732380000,840000,23743.550340,23780.883829,23776.128603,23677.567585,0.372133,-13.893020,7.074162,9.722110,16.796272,-30.689292,2.025361,15,stop_loss,14.789759,-34.733068,-49.522827,8.006289,11.003144,19.009434,-34.733068,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-00000014,SIG-BT-00000014,2022-08,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1661537520000,1661537520000,0,20611.376900,20640.591524,20636.464231,20522.486348,0.480191,-14.028611,7.923536,10.889952,18.813488,-32.842099,3.543245,1,stop_loss,30.126935,-33.182532,-63.309468,8.005670,11.002834,19.008504,-33.182532,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-00000015,SIG-BT-00000015,2022-10,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1666199640000,1666199640000,0,19121.075020,19144.647209,19140.819045,19068.209596,0.605987,-14.284431,9.275406,12.748684,22.024090,-36.308521,2.677540,1,stop_loss,14.647726,-31.335254,-45.982980,8.004931,11.002465,19.007396,-31.335254,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-00000016,SIG-BT-00000016,2022-10,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1666289820000,1666289940000,120000,19041.091020,19065.024653,19061.212411,18989.493135,0.590110,-14.123488,8.994728,12.362807,21.357534,-35.481023,2.564330,3,stop_loss,14.098177,-31.577007,-45.675184,8.005028,11.002514,19.007541,-31.577007,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-00000017,SIG-BT-00000017,2022-10,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1666942680000,1666943160000,480000,20166.065980,20113.871428,20191.969846,20109.849458,0.454957,23.746269,7.330253,5.500066,12.830319,10.915950,2.170198,9,take_profit,14.876791,11.897895,-2.978896,7.989647,5.994825,13.984472,11.897895,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-00000018,SIG-BT-00000018,2022-11,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1667999760000,1668000000000,240000,17390.121280,17508.543182,17505.042174,17159.351241,0.102787,-12.172291,1.434859,1.968670,3.403528,-15.575820,2.008077,5,stop_loss,119.701799,-87.138082,-206.839881,8.027239,11.013617,19.040856,-87.138082,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-00000019,SIG-BT-00000019,2022-11,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1668076860000,1668077700000,840000,16492.600820,16359.199487,16536.641401,16355.928301,0.267333,35.662552,3.512945,2.638277,6.151222,29.511329,3.103331,15,take_profit,69.868991,66.934093,-2.934898,7.967646,5.983826,13.951472,66.934093,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-0000001A,SIG-BT-0000001A,2022-11,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1668229680000,1668230100000,420000,16744.550420,16670.100576,16776.639406,16666.767222,0.369201,27.486921,4.934683,3.703762,8.638444,18.848477,2.423984,8,take_profit,33.452843,30.488809,-2.964034,7.982215,5.991110,13.973325,30.488809,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-0000001B,SIG-BT-0000001B,2023-02,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1675697340000,1675697820000,480000,22763.946300,22797.770280,22793.211637,22704.287417,0.406433,-13.747173,7.407109,10.179963,17.587073,-31.334245,2.038551,9,stop_loss,13.207619,-33.867489,-47.075109,8.005943,11.002971,19.008915,-33.867489,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-0000001C,SIG-BT-0000001C,2023-02,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1677075480000,1677076260000,780000,23976.303780,24021.206472,24016.403192,23886.736726,0.294669,-13.231434,5.657352,7.774228,13.431580,-26.663014,2.233625,14,stop_loss,24.356490,-37.739182,-62.095672,8.007491,11.003745,19.011236,-37.739182,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-0000001D,SIG-BT-0000001D,2023-03,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1678444500000,1678444800000,300000,19799.939220,19714.839923,19844.029246,19710.897744,0.266487,22.677816,4.212063,3.161316,7.373378,15.304438,2.019538,6,take_profit,31.970581,29.005361,-2.965220,7.982808,5.991406,13.974214,29.005361,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-0000001E,SIG-BT-0000001E,2023-04,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1682103180000,1682103720000,540000,27814.635960,27737.716199,27846.008571,27732.169765,0.375731,28.901131,8.349094,6.264712,14.613806,14.287325,2.628605,10,take_profit,16.648490,13.671011,-2.977479,7.988938,5.994470,13.983409,13.671011,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-0000001F,SIG-BT-0000001F,2023-05,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1683647940000,1683648900000,960000,27400.418820,27450.612063,27445.123038,27304.982615,0.264480,-13.275115,5.802803,7.974208,13.777011,-27.052126,2.134837,17,stop_loss,21.830199,-37.329412,-59.159612,8.007327,11.003663,19.010990,-37.329412,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
