bucket,trades,wins,losses,win_rate,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,avg_net_pnl_bps,net_pnl
edge_lt_0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
edge_0_5,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
edge_5_10,3964,1327,2637,33.476287,7.794612,-21.021912,-28.816524,17.325745,-21.021912,-2526.594242
edge_10_15,2908,1011,1897,34.766162,12.266043,-20.765487,-33.031531,17.261644,-20.765487,-1205.648019
edge_15_20,1656,597,1059,36.050725,17.311032,-20.411406,-37.722437,17.197587,-20.411406,-450.738665
edge_20_30,1801,631,1170,35.036091,24.174094,-21.206674,-45.380768,17.239571,-21.206674,-578.864397
edge_30_50,1207,452,755,37.448219,38.049215,-19.983004,-58.032219,17.115323,-19.983004,-216.645582
edge_gte_50,633,233,400,36.808847,80.475508,-20.871777,-101.347285,17.143200,-20.871777,-21.509095
