bucket,trades,wins,losses,win_rate,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,avg_net_pnl_bps,net_pnl
edge_lt_0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
edge_0_5,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
edge_5_10,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
edge_10_15,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
edge_15_20,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
edge_20_30,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
edge_30_50,3,1,2,33.333333,40.080488,-12.129190,-52.209678,9.998935,-12.129190,-10.753000
edge_gte_50,20,10,10,50.000000,92.812175,21.968555,-70.843620,10.015992,21.968555,28.157392
