key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
long,1051,410,641,39.010466,-1395.304501,-316.877331,1078.427170,0.000000,-1.327597,125.171351,-12.814836,9.446242
short,889,343,546,38.582677,-924.191459,116.506950,1040.698409,0.000000,-1.039585,104.804460,-9.398587,9.244094
