trade_id,signal_id,symbol,strategy_id,regime,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,net_pnl,reward_risk,bars_held,exit_reason,entry_reason,filters_passed,filters_failed,expected_edge_bps,actual_edge_bps
TRD-SIG-BT-00029013,SIG-BT-00029013,BTCUSDT,screened_vwap_scalp,bearish,short,1717788000000,1717788240000,68936.909860,69047.714486,69033.907705,68791.413093,0.00263409,-0.291869,0.145385,0.199803,-0.637057,1.500000,5,stop_loss,"15m bearish, 5m bearish, 1m pullback near VWAP/EMA21 and reject below EMA8/VWAP",screening_bearish|confirmation_bearish_or_neutral|pullback_near_vwap_or_ema21|reject_below_ema8_or_vwap|atr_valid|volume_acceptable,,8.105786,-35.082982
TRD-SIG-BT-00029089,SIG-BT-00029089,BTCUSDT,screened_vwap_scalp,bearish,short,1718080320000,1718080380000,67910.415200,67780.209084,68006.254831,67766.655753,0.00264930,0.344955,0.143794,0.107880,0.093281,1.500000,2,take_profit,"15m bearish, 5m bearish, 1m pullback near VWAP/EMA21 and reject below EMA8/VWAP",screening_bearish|confirmation_bearish_or_neutral|pullback_near_vwap_or_ema21|reject_below_ema8_or_vwap|atr_valid|volume_acceptable,,8.168984,5.184720
TRD-SIG-BT-00029130,SIG-BT-00029130,BTCUSDT,screened_vwap_scalp,bearish,short,1718089260000,1718089260000,67601.776940,67703.853377,67690.315314,67468.969378,0.00287041,-0.293001,0.155353,0.213508,-0.661862,1.500000,1,stop_loss,"15m bearish, 5m bearish, 1m pullback near VWAP/EMA21 and reject below EMA8/VWAP",screening_bearish|confirmation_bearish_or_neutral|pullback_near_vwap_or_ema21|reject_below_ema8_or_vwap|atr_valid|volume_acceptable,,6.645573,-34.108727
TRD-SIG-BT-00029239,SIG-BT-00029239,BTCUSDT,screened_vwap_scalp,bearish,short,1718114340000,1718114400000,66746.048120,66869.525517,66856.154286,66580.888870,0.00229312,-0.283148,0.122559,0.168419,-0.574126,1.500000,2,stop_loss,"15m bearish, 5m bearish, 1m pullback near VWAP/EMA21 and reject below EMA8/VWAP",screening_bearish|confirmation_bearish_or_neutral|pullback_near_vwap_or_ema21|reject_below_ema8_or_vwap|atr_valid|volume_acceptable,,11.744424,-37.510681
TRD-SIG-BT-00029374,SIG-BT-00029374,BTCUSDT,screened_vwap_scalp,bullish,long,1718216940000,1718217060000,69189.735180,69332.436315,69085.354916,69346.305577,0.00240516,0.343219,0.133267,0.099916,0.110036,1.500000,3,take_profit,"15m bullish, 5m neutral, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP",screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,9.629137,6.612235
TRD-SIG-BT-00029375,SIG-BT-00029375,BTCUSDT,screened_vwap_scalp,bullish,long,1718217540000,1718217600000,69173.932020,69347.405497,69049.034865,69361.277753,0.00201227,0.349075,0.111497,0.083588,0.153990,1.500000,2,take_profit,"15m bullish, 5m neutral, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP",screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,14.083285,11.062821
TRD-SIG-BT-00029376,SIG-BT-00029376,BTCUSDT,screened_vwap_scalp,bullish,long,1718217960000,1718217960000,69094.616160,68960.655075,68974.449965,69274.865453,0.00209469,-0.280607,0.115673,0.159149,-0.555430,1.500000,1,stop_loss,"15m bullish, 5m neutral, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP",screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,13.087314,-38.376431
TRD-SIG-BT-00029377,SIG-BT-00029377,BTCUSDT,screened_vwap_scalp,bullish,long,1718219700000,1718219820000,68950.187280,69083.652520,68851.997457,69097.472014,0.00254938,0.340253,0.140760,0.105536,0.093957,1.500000,3,take_profit,"15m bullish, 5m neutral, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP",screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,8.361035,5.345148
TRD-SIG-BT-00029378,SIG-BT-00029378,BTCUSDT,screened_vwap_scalp,bullish,long,1718220180000,1718220180000,69163.830000,69062.176802,69075.992000,69295.586999,0.00285250,-0.289966,0.157716,0.216961,-0.664642,1.500000,1,stop_loss,"15m bullish, 5m neutral, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP",screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,6.049986,-33.688632
TRD-SIG-BT-00029415,SIG-BT-00029415,BTCUSDT,screened_vwap_scalp,bearish,short,1718283960000,1718284500000,67722.452800,67831.332898,67817.769344,67579.477984,0.00261126,-0.284314,0.141586,0.194582,-0.620482,1.500000,10,stop_loss,"15m bearish, 5m neutral, 1m pullback near VWAP/EMA21 and reject below EMA8/VWAP",screening_bearish|confirmation_bearish_or_neutral|pullback_near_vwap_or_ema21|reject_below_ema8_or_vwap|atr_valid|volume_acceptable,,8.111878,-35.087046
