bucket,trades,wins,losses,win_rate,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,avg_net_pnl_bps,net_pnl
edge_lt_0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
edge_0_5,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
edge_5_10,1347,486,861,36.080178,7.575349,-20.513963,-28.089312,17.191623,-20.513963,-2818.244240
edge_10_15,720,265,455,36.805556,12.197516,-20.431622,-32.629138,17.159652,-20.431622,-1355.920357
edge_15_20,307,114,193,37.133550,17.115879,-20.481268,-37.597148,17.142381,-20.481268,-551.590966
edge_20_30,195,77,118,39.487179,23.771943,-19.334565,-43.106508,17.025546,-19.334565,-248.302736
edge_30_50,67,30,37,44.776119,37.813234,-14.398759,-52.211993,16.763739,-14.398759,-40.347422
edge_gte_50,19,7,12,36.842105,71.032719,-26.940175,-97.972894,17.168955,-26.940175,15.369413
