key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
stop_loss,1675,0,1675,0.000000,-5782.197947,-2803.062538,1254.311962,1724.823447,-3.452058,12.179050,-37.785914,4.047164
take_profit,979,979,0,100.000000,783.186549,2103.152753,754.269852,565.696352,0.799986,12.617264,9.618214,6.044944
time_exit,1,0,1,0.000000,-0.024910,0.116349,0.080726,0.060533,-0.024910,7.210450,-2.470001,60.000000
