trade_id,signal_id,month,symbol,strategy_id,regime,side,entry_time,exit_time,duration_ms,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,total_cost,net_pnl,reward_risk,bars_held,exit_reason,expected_edge_bps,actual_edge_bps,edge_realization_bps,fee_bps,slippage_bps,total_cost_bps,net_pnl_bps,filters_passed,filters_failed,entry_reason
TRD-SIG-BT-00001588,SIG-BT-00001588,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704743880000,1704744360000,480000,46978.393800,46900.217399,46909.599319,47081.585522,0.145117,-11.344688,5.449335,7.496806,12.946141,-24.290829,1.500000,9,stop_loss,8.965783,-35.630942,-44.596725,7.993344,10.996671,18.990015,-35.630942,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00001589,SIG-BT-00001589,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704744480000,1704744480000,0,46908.879900,46831.101025,46840.469119,47011.496072,0.145043,-11.281263,5.438522,7.481916,12.920439,-24.201702,1.500000,1,stop_loss,8.875639,-35.570894,-44.446533,7.993368,10.996683,18.990051,-35.570894,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00001676,SIG-BT-00001676,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704760500000,1704760500000,0,46841.066340,46765.508908,46774.863881,46940.370028,0.148967,-11.255567,5.577718,7.673301,13.251019,-24.506587,1.500000,1,stop_loss,8.200134,-35.120917,-43.321051,7.993548,10.996773,18.990321,-35.120917,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m neutral, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00001677,SIG-BT-00001677,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704761040000,1704761160000,120000,46659.330000,46543.023525,46552.333991,46819.824013,0.091599,-10.653547,3.414894,4.699207,8.114101,-18.767648,1.500000,3,stop_loss,21.396982,-43.911778,-65.308760,7.990029,10.995014,18.985043,-43.911778,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m neutral, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00001678,SIG-BT-00001678,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704761880000,1704762000000,120000,46726.243380,46630.494608,46639.822572,46855.874592,0.112864,-10.806591,4.214646,5.798921,10.013567,-20.820158,1.500000,3,stop_loss,14.742699,-39.479138,-54.221838,7.991803,10.995901,18.987704,-39.479138,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m neutral, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00001679,SIG-BT-00001679,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704762240000,1704763380000,1140000,46710.240180,46623.090699,46632.417182,46826.974677,0.124664,-10.864428,4.654133,6.403236,11.057369,-21.921797,1.500000,20,stop_loss,11.991200,-37.646273,-49.637473,7.992537,10.996268,18.988805,-37.646273,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m neutral, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00001685,SIG-BT-00001685,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704764880000,1704764940000,60000,46491.796500,46417.672341,46426.957733,46589.054651,0.148784,-11.028458,5.529362,7.606732,13.136093,-24.164551,1.500000,2,stop_loss,7.919422,-34.933925,-42.853347,7.993623,10.996811,18.990433,-34.933925,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m neutral, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00001920,SIG-BT-00001920,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704804900000,1704804900000,0,46829.263980,46738.420277,46747.769831,46951.505203,0.117635,-10.686364,4.402719,6.057479,10.460199,-21.146563,1.500000,1,stop_loss,13.103597,-38.387278,-51.490874,7.992240,10.996120,18.988360,-38.387278,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00001921,SIG-BT-00001921,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704807180000,1704807300000,120000,46740.346200,46632.122118,46641.450408,46888.689888,0.096401,-10.432924,3.600485,4.954318,8.554802,-18.987727,1.500000,3,stop_loss,18.737824,-42.140424,-60.878248,7.990738,10.995368,18.986107,-42.140424,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00001922,SIG-BT-00001922,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704807900000,1704808020000,120000,46617.421620,46726.682688,46538.349437,46736.029894,0.119969,13.107922,4.479353,3.358205,7.837558,5.270365,1.500000,3,take_profit,12.442907,9.423755,-3.019152,8.009375,6.004689,14.014064,9.423755,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m neutral, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00001923,SIG-BT-00001923,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704808560000,1704808680000,120000,46861.370400,46756.100264,46765.453355,47005.245968,0.099037,-10.425679,3.708652,5.103045,8.811696,-19.237375,1.500000,3,stop_loss,17.702382,-41.450682,-59.153063,7.991014,10.995506,18.986521,-41.450682,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00001924,SIG-BT-00001924,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704809040000,1704809700000,660000,46829.864100,46728.300505,46737.648035,46968.188198,0.102491,-10.409314,3.835533,5.277501,9.113034,-19.522347,1.500000,12,stop_loss,16.537583,-40.674770,-57.212353,7.991325,10.995662,18.986987,-40.674770,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00001925,SIG-BT-00001925,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704809760000,1704809760000,0,46753.148760,46660.402754,46669.736701,46878.266849,0.112723,-10.454626,4.211950,5.795089,10.007039,-20.461665,1.500000,1,stop_loss,13.761425,-38.825479,-52.586904,7.992065,10.996032,18.988097,-38.825479,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
