stage,entry_geometry_mode,reason,count,unique_signals,avg_equity,avg_drawdown_pct,avg_daily_realized_pnl,avg_expected_reward_bps,avg_expected_cost_bps,avg_expected_net_edge_bps,min_expected_net_edge_bps,max_expected_net_edge_bps
initial_risk,reanchor_to_actual_entry,daily_loss_limit_reached,20,20,495.782528,90.091182,-15.473227,17.033806,10.000000,7.033806,0.993434,35.943972
initial_risk,reanchor_to_actual_entry,expected_net_edge_not_positive,169,169,277.187958,94.460061,-1.311627,8.755756,10.000000,-1.244244,-2.446765,-0.019208
