month,trades,wins,losses,win_rate,gross_pnl,fee,slippage,total_cost,net_pnl,profit_factor,avg_win,avg_loss,expectancy,max_consecutive_losses,avg_reward_risk,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,take_profit_count,stop_loss_count,time_exit_count,end_of_backtest_count
2020-01,71,31,40,43.661972,99.067537,177.921203,0.000000,177.921203,-78.853667,1.419599,8.339373,-8.434356,-1.110615,9,1.800000,50.078445,-4.089228,-54.167673,10.002847,20,33,18,0
2020-02,48,20,28,41.666667,39.825665,133.520280,0.000000,133.520280,-93.694616,1.218630,8.401034,-9.346975,-1.951971,5,1.800000,48.228342,-2.438758,-50.667099,10.006154,15,25,8,0
2020-03,146,58,88,39.726027,84.003692,272.953130,0.000000,272.953130,-188.949438,1.138902,9.952409,-8.706695,-1.294174,7,1.800000,78.888520,-9.956603,-88.845123,10.005332,51,85,10,0
2020-04,94,39,55,41.489362,87.250307,198.821189,0.000000,198.821189,-111.570882,1.271312,8.269214,-7.892186,-1.186924,6,1.800000,61.730894,-8.881540,-70.612434,9.999807,28,46,20,0
2020-05,111,49,62,44.144144,124.995667,246.656049,0.000000,246.656049,-121.660381,1.330162,8.021413,-8.301768,-1.096039,5,1.800000,54.869981,-3.997412,-58.867393,10.002716,36,55,20,0
2020-06,39,13,26,33.333333,-57.831393,83.940942,0.000000,83.940942,-141.772336,0.609923,5.202136,-8.053850,-3.635188,8,1.800000,56.300240,-11.925955,-68.226194,9.998451,5,22,12,0
2020-07,35,14,21,40.000000,14.223391,68.935707,0.000000,68.935707,-54.712315,1.130563,6.949633,-7.238437,-1.563209,5,1.800000,68.219854,-6.235056,-74.454910,10.002829,8,16,11,0
2020-08,44,18,26,40.909091,42.850475,90.714507,0.000000,90.714507,-47.864032,1.393294,6.368537,-6.249911,-1.087819,6,1.800000,62.294321,-2.352920,-64.647242,10.002609,9,16,19,0
2020-09,45,18,27,40.000000,24.829274,104.762653,0.000000,104.762653,-79.933379,1.173062,6.976303,-7.611364,-1.776297,9,1.800000,40.191515,-7.182060,-47.373574,9.996035,12,23,10,0
2020-10,57,15,42,26.315789,-121.480662,118.183079,0.000000,118.183079,-239.663741,0.482513,5.855005,-7.797353,-4.204627,9,1.800000,47.621148,-17.956797,-65.577945,9.995897,9,39,9,0
2020-11,134,45,89,33.582090,-103.391281,243.008478,0.000000,243.008478,-346.399759,0.784978,6.531054,-7.194351,-2.585073,9,1.800000,54.837356,-15.930423,-70.767779,9.997931,31,87,16,0
2020-12,125,49,76,39.200000,40.496785,226.002255,0.000000,226.002255,-185.505470,1.109886,6.650843,-6.728905,-1.484044,7,1.800000,48.242795,-5.378906,-53.621701,10.003410,41,72,12,0
2021-01,234,106,128,45.299145,312.726514,348.411612,0.000000,348.411612,-35.685098,1.504163,7.272346,-6.301201,-0.152500,8,1.800000,59.704559,-3.543056,-63.247615,9.998769,105,126,3,0
2021-02,176,63,113,35.795455,-9.646893,279.421845,0.000000,279.421845,-289.068738,0.981129,6.389195,-6.120248,-1.642436,10,1.800000,48.832975,-9.683436,-58.516410,9.999583,57,109,10,0
2021-03,140,52,88,37.142857,24.297546,222.108577,0.000000,222.108577,-197.811031,1.068023,5.755203,-5.648654,-1.412936,5,1.800000,44.035571,-9.069899,-53.105470,9.997226,44,81,15,0
2021-04,78,34,44,43.589744,77.521185,120.064971,0.000000,120.064971,-42.543786,1.484236,5.393453,-5.134573,-0.545433,7,1.800000,43.177458,-4.825562,-48.003020,10.001091,29,38,11,0
2021-05,188,68,120,36.170213,6.877500,228.497171,0.000000,228.497171,-221.619671,1.015107,5.585006,-5.011668,-1.178828,13,1.800000,59.980383,-9.794082,-69.774465,9.999403,65,116,7,0
2021-06,217,78,139,35.944700,-8.454181,272.549828,0.000000,272.549828,-281.004009,0.982046,4.685875,-4.651096,-1.294949,13,1.800000,45.184610,-10.233250,-55.417860,9.999066,71,132,14,0
2021-07,127,58,69,45.669291,110.339225,150.117505,0.000000,150.117505,-39.778280,1.529990,4.271465,-4.167003,-0.313215,7,1.800000,46.885170,-4.613400,-51.498569,9.997405,50,62,15,0
2021-08,123,44,79,35.772358,-15.402121,140.190851,0.000000,140.190851,-155.592972,0.935129,3.872078,-4.126132,-1.264984,11,1.800000,43.539994,-12.378679,-55.918673,9.999584,35,75,13,0
2021-09,125,34,91,27.200000,-95.633960,126.132842,0.000000,126.132842,-221.766802,0.629873,3.816023,-3.862765,-1.774134,18,1.800000,48.576338,-17.249556,-65.825893,9.996118,29,89,7,0
2021-10,97,39,58,40.206186,23.668729,98.572511,0.000000,98.572511,-74.903782,1.176467,3.092939,-3.371179,-0.772204,6,1.800000,42.653307,-5.727403,-48.380710,10.004226,28,48,21,0
2021-11,88,29,59,32.954545,-32.704712,84.083486,0.000000,84.083486,-116.788198,0.771027,2.885444,-3.397730,-1.327139,21,1.800000,44.429188,-13.866960,-58.296148,9.996810,21,56,11,0
2021-12,92,36,56,39.130435,15.244826,85.593574,0.000000,85.593574,-70.348748,1.123534,2.914827,-3.130045,-0.764660,7,1.800000,38.947511,-8.760401,-47.707912,9.997814,30,52,10,0
2022-01,80,34,46,42.500000,21.260477,64.697164,0.000000,64.697164,-43.436687,1.208027,2.820394,-3.028915,-0.542959,4,1.800000,50.859661,-6.449409,-57.309071,9.998748,26,43,11,0
2022-02,129,50,79,38.759690,11.818822,101.046662,0.000000,101.046662,-89.227840,1.072173,2.750933,-2.870563,-0.691689,5,1.800000,46.239429,-8.202954,-54.442382,9.998258,39,75,15,0
2022-03,93,31,62,33.333333,-23.808538,67.389632,0.000000,67.389632,-91.198170,0.798819,2.365454,-2.653665,-0.980625,9,1.800000,49.445344,-11.884347,-61.329690,9.997724,21,57,15,0
