timestamp,equity,drawdown_pct
1577836800000,5000.000000,0.000000
1578040920000,4990.177558,0.196449
1578042600000,4979.675188,0.406496
1578045120000,4970.283502,0.594330
1578067200000,4959.147516,0.817050
1578080400000,4970.139561,0.597209
1578265680000,4973.145127,0.537097
1578268800000,4979.440812,0.411184
1578319020000,4969.420682,0.611586
1578321720000,4972.062584,0.558748
1578412860000,4962.039052,0.759219
1578412980000,4972.286186,0.554276
1578416280000,4962.099539,0.758009
1578433800000,4950.996254,0.980075
1578435540000,4941.148842,1.177023
1578435720000,4951.143187,0.977136
1578477840000,4961.590949,0.768181
1578480840000,4960.505862,0.789883
1578492000000,4970.998867,0.580023
1578495420000,4973.744977,0.525100
1578501780000,4965.077636,0.698447
1578503520000,4956.308997,0.873820
1578515160000,4966.319038,0.673619
1578543240000,4955.198405,0.896032
1578603600000,4945.659246,1.086815
1578667140000,4934.560323,1.308794
1578676620000,4924.498189,1.510036
1578680100000,4915.321813,1.693564
1578694320000,4907.008227,1.859835
1578694440000,4896.956344,2.060873
1578779640000,4887.339833,2.253203
1578783120000,4885.781077,2.284378
1578788340000,4896.634767,2.067305
1578850140000,4907.809350,1.843813
1578920400000,4912.633277,1.747334
1579047240000,4924.675641,1.506487
1579066260000,4935.908773,1.281825
1579134480000,4926.430284,1.471394
1579134900000,4915.760101,1.684798
1579135200000,4925.474295,1.490514
1579146720000,4935.753057,1.284939
1579175940000,4925.273731,1.494525
1579198140000,4935.134853,1.297303
1579212000000,4934.220464,1.315591
1579367700000,4935.752033,1.284959
1579481220000,4926.989563,1.460209
1579483920000,4930.004866,1.399903
1579560180000,4919.284057,1.614319
1579561200000,4910.336305,1.793274
1579563960000,4908.891283,1.822174
1579637520000,4898.919674,2.021607
1579721160000,4896.895618,2.062088
1579766520000,4896.454847,2.070903
1579780800000,4906.981138,1.860377
1579813860000,4896.309051,2.073819
1579867800000,4907.415443,1.851691
1579905300000,4897.245145,2.055097
1580117580000,4904.310902,1.913782
1580191620000,4907.500621,1.849988
1580224140000,4918.830890,1.623382
1580267340000,4926.517771,1.469645
1580297820000,4916.897543,1.662049
1580298900000,4927.444425,1.451111
1580304360000,4936.992338,1.260153
1580344080000,4927.456613,1.450868
1580403660000,4939.746534,1.205069
1580439900000,4943.821315,1.123574
1580449740000,4932.817705,1.343646
1580450400000,4921.916364,1.561673
1580451000000,4931.669885,1.366602
1580467800000,4921.822715,1.563546
1580517240000,4921.146333,1.577073
1580559120000,4920.859297,1.582814
1580648700000,4910.532766,1.789345
1580687940000,4899.829087,2.003418
1580688840000,4910.557258,1.788855
1580691360000,4900.074382,1.998512
1580693580000,4890.627609,2.187448
1580702280000,4900.605381,1.987892
1580764080000,4904.402172,1.911957
1580816220000,4894.486889,2.110262
1580817420000,4904.439744,1.911205
1580951280000,4914.052986,1.718940
1580976000000,4903.561781,1.928764
1581013020000,4892.511226,2.149775
1581031020000,4903.656143,1.926877
1581056580000,4900.042302,1.999154
1581077400000,4889.429875,2.211402
1581202260000,4891.135165,2.177297
1581262680000,4900.904194,1.981916
1581379440000,4910.921550,1.781569
1581435420000,4901.841588,1.963168
1581517500000,4911.342070,1.773159
1581524040000,4915.814971,1.683701
1581546480000,4916.285787,1.674284
1581581520000,4906.047840,1.879043
1581597060000,4909.659381,1.806812
1581612660000,4898.626307,2.027474
1581676800000,4888.329228,2.233415
1581894720000,4898.394893,2.032102
1581905640000,4887.308840,2.253823
1581951360000,4897.247048,2.055059
1582039320000,4886.287717,2.274246
1582040040000,4896.754685,2.064906
1582049100000,4885.874682,2.282506
1582062660000,4874.927527,2.501449
1582117380000,4872.742584,2.545148
1582149240000,4885.489796,2.290204
1582217400000,4876.825436,2.463491
1582218600000,4887.780053,2.244399
1582256340000,4877.195188,2.456096
1582429920000,4866.945801,2.661084
1582528980000,4876.656858,2.466863
1582719300000,4866.875223,2.662496
1582725240000,4856.821595,2.863568
1582725660000,4848.492725,3.030145
1582816140000,4838.884175,3.222317
1582821900000,4828.638130,3.427237
1582940400000,4838.013927,3.239721
1582991340000,4827.451718,3.450966
1583068020000,4817.861698,3.642766
1583106300000,4827.945077,3.441098
1583248500000,4839.024755,3.219505
1583335020000,4848.516742,3.029665
1583603160000,4845.016419,3.099672
1583724960000,4855.454330,2.890913
1583770680000,4845.298912,3.094022
1583836920000,4834.543982,3.309120
1583926200000,4824.749932,3.505001
1583993400000,4834.405282,3.311894
1584051000000,4826.717107,3.465658
1584140460000,4818.179434,3.636411
1584141060000,4809.628372,3.807433
1584149040000,4801.493426,3.970131
1584155160000,4792.936813,4.141264
1584163440000,4803.640621,3.927188
1584189060000,4815.035300,3.699294
1584193980000,4805.652744,3.886945
1584217680000,4796.956502,4.060870
1584235200000,4807.575723,3.848486
1584246840000,4799.126924,4.017462
1584247440000,4788.371085,4.232578
1584258060000,4797.633879,4.047322
1584267780000,4789.535167,4.209297
1584268860000,4781.488133,4.370237
1584275340000,4773.677280,4.526454
1584307200000,4765.789194,4.684216
1584309180000,4758.121519,4.837570
1584313860000,4760.886484,4.782270
1584324480000,4750.378746,4.992425
1584369000000,4742.667159,5.146657
1584374520000,4754.783223,4.904336
1584386340000,4753.937314,4.921254
1584401460000,4743.897528,5.122049
1584401580000,4754.365952,4.912681
1584402060000,4746.425167,5.071497
1584403200000,4738.322431,5.233551
1584407100000,4730.209530,5.395809
1584407340000,4721.533475,5.569330
1584407940000,4713.579572,5.728409
1584414180000,4704.842562,5.903149
1584414300000,4715.425716,5.691486
1584429660000,4706.086608,5.878268
1584434640000,4697.875665,6.042487
1584435600000,4708.642444,5.827151
1584437940000,4700.097471,5.998051
1584451920000,4712.035956,5.759281
1584453600000,4703.540570,5.929189
1584457920000,4694.099575,6.118009
1584458820000,4684.474079,6.310518
1584472560000,4694.848759,6.103025
1584490320000,4686.455109,6.270898
1584497820000,4676.727224,6.465456
1584509040000,4667.102741,6.657945
1584510780000,4658.997231,6.820055
1584512700000,4650.529673,6.989407
1584513900000,4642.440776,7.151184
1584518820000,4634.523484,7.309530
1584541440000,4646.033084,7.079338
1584559800000,4656.780909,6.864382
1584569700000,4648.760863,7.024783
1584587100000,4639.002003,7.219960
1584609360000,4649.957356,7.000853
1584644400000,4640.543188,7.189136
1584644640000,4650.994347,6.980113
1584659940000,4642.676962,7.146461
1584679440000,4633.386563,7.332269
1584679800000,4624.040366,7.519193
1584710460000,4615.573091,7.688538
1584713400000,4606.977914,7.860442
1584719160000,4617.851277,7.642974
1584723840000,4629.443944,7.411121
1584729300000,4620.408086,7.591838
1584735780000,4612.445402,7.751092
1584735900000,4604.768141,7.904637
1584742260000,4616.339394,7.673212
1584761460000,4627.061362,7.458773
1584766920000,4637.695202,7.246096
1584789840000,4649.178009,7.016440
1584815100000,4660.518309,6.789634
1584817560000,4652.268614,6.954628
1584827340000,4644.215914,7.115682
1584829680000,4655.856135,6.882877
1584838920000,4665.036758,6.699265
1584852900000,4654.471526,6.910569
1584858720000,4644.019990,7.119600
1584870720000,4634.545042,7.309099
1584871500000,4644.471531,7.110569
1584873720000,4656.014519,6.879710
1584879480000,4648.251902,7.034962
1584882300000,4657.228767,6.855425
1584889140000,4668.362002,6.632760
1584916800000,4659.822982,6.803540
1584917340000,4650.962476,6.980750
1584923040000,4643.163056,7.136739
1584938760000,4633.803824,7.323924
1584959160000,4624.293776,7.514124
1584964800000,4634.209484,7.315810
1584965700000,4625.762192,7.484756
1584966900000,4618.360838,7.632783
1584971280000,4629.602594,7.407948
1584978660000,4639.987064,7.200259
1585065300000,4645.934144,7.081317
1585071000000,4637.467303,7.250654
1585071300000,4648.437402,7.031252
1585094460000,4640.171805,7.196564
1585112580000,4629.660371,7.406793
1585113180000,4619.661015,7.606780
1585133160000,4611.881353,7.762373
1585133640000,4603.802260,7.923955
1585136340000,4595.520103,8.089598
1585137840000,4606.943846,7.861123
1585142520000,4616.664956,7.666701
1585161540000,4626.214727,7.475705
1585169580000,4616.408737,7.671825
1585174260000,4607.232296,7.855354
1585186260000,4616.536610,7.669268
1585189740000,4606.139574,7.877209
1585201920000,4597.031807,8.059364
1585225080000,4606.818905,7.863622
1585236060000,4616.095154,7.678097
1585285500000,4607.907880,7.841842
1585290420000,4618.328380,7.633432
1585293840000,4608.933251,7.821335
1585296060000,4618.840620,7.623188
1585304460000,4629.390290,7.412194
1585311960000,4640.300607,7.193988
1585319400000,4642.030891,7.159382
1585329960000,4652.074382,6.958512
1585352220000,4641.617986,7.167640
