trade_id,signal_id,symbol,strategy_id,regime,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,qty,position_size_usd,entry_notional_usd,exit_notional_usd,avg_notional_usd,round_trip_notional_usd,fee_bps_on_combined_notional,fee_bps_on_entry_notional,equity_at_entry_usd,risk_amount_usd,risk_per_unit_usd,stop_distance_bps,risk_pct_of_equity,leverage_used,gross_pnl,fee,slippage,net_pnl,reward_risk,bars_held,exit_reason,entry_reason,filters_passed,filters_failed,expected_edge_bps,actual_edge_bps
TRD-SIG-BT-00000001,SIG-BT-00000001,BTCUSDT,ema_trend_pullback_v1,bullish,long,1578442560000,1578443340000,8280.170000,8335.685774,8243.159484,8335.685774,0.20264511,1677.935955,1677.935955,1689.185955,1683.560955,3367.121910,5.000000,10.033523,5000.000000,7.500000,37.010516,44.697773,0.150000,0.335587,11.250000,1.683561,0.000000,9.566439,1.500000,14,take_profit,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,57.046659,57.013136
TRD-SIG-BT-00000002,SIG-BT-00000002,BTCUSDT,ema_trend_pullback_v1,bearish,short,1583997540000,1584000540000,7413.290000,7359.838719,7448.924188,7359.838719,0.21087473,1563.275521,1563.275521,1552.003997,1557.639759,3115.279518,5.000000,9.963949,5009.566439,7.514350,35.634188,48.067980,0.150000,0.312058,11.271524,1.557640,0.000000,9.713885,1.500000,51,take_profit,etp_bearish_pullback_near_ema21_close_reclaim,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,62.101970,62.138021
TRD-SIG-BT-00000003,SIG-BT-00000003,BTCUSDT,ema_trend_pullback_v1,bearish,short,1584012420000,1584013260000,6225.260000,6019.251262,6362.599159,6019.251262,0.05481991,341.268200,341.268200,329.974819,335.621510,671.243019,5.000000,9.834538,5019.280324,7.528920,137.339159,220.615940,0.150000,0.067991,11.293381,0.335622,0.000000,10.957759,1.500000,15,take_profit,etp_bearish_pullback_near_ema21_close_reclaim,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,320.923911,321.089373
TRD-SIG-BT-00000004,SIG-BT-00000004,BTCUSDT,ema_trend_pullback_v1,bearish,short,1584014040000,1584014520000,5974.240000,6091.901300,6091.901300,5797.748050,0.06412777,383.114705,383.114705,390.660062,386.887384,773.774767,5.000000,10.098474,5030.238083,7.545357,117.661300,196.947729,0.150000,0.076162,-7.545357,0.386887,0.000000,-7.932245,1.500000,9,stop_loss,etp_bearish_pullback_near_ema21_close_reclaim,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,285.421594,-207.046203
TRD-SIG-BT-00000005,SIG-BT-00000005,BTCUSDT,ema_trend_pullback_v1,bearish,short,1584019380000,1584019860000,5995.980000,5937.241409,6035.139061,5937.241409,0.19238099,1153.512547,1153.512547,1142.212359,1147.862453,2295.724906,5.000000,9.951018,5022.305838,7.533459,39.159061,65.308858,0.150000,0.229678,11.300188,1.147862,0.000000,10.152326,1.500000,9,take_profit,etp_bearish_pullback_near_ema21_close_reclaim,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,87.963288,88.012269
TRD-SIG-BT-00000006,SIG-BT-00000006,BTCUSDT,ema_trend_pullback_v1,bearish,short,1584043320000,1584043320000,6030.000000,5991.066923,6055.955385,5991.066923,0.29083319,1753.724119,1753.724119,1742.401088,1748.062604,3496.125207,5.000000,9.967717,5032.458164,7.548687,25.955385,43.043756,0.150000,0.348483,11.323031,1.748063,0.000000,9.574968,1.500000,1,take_profit,etp_bearish_pullback_near_ema21_close_reclaim,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,54.565633,54.597916
TRD-SIG-BT-00000007,SIG-BT-00000007,BTCUSDT,ema_trend_pullback_v1,bearish,short,1584045120000,1584045420000,5866.770000,5906.849220,5906.849220,5806.651170,0.18870252,1107.074276,1107.074276,1114.637325,1110.855800,2221.711601,5.000000,10.034158,5042.033132,7.563050,40.079220,68.315648,0.150000,0.219569,-7.563050,1.110856,0.000000,-8.673905,1.500000,6,stop_loss,etp_bearish_pullback_near_ema21_close_reclaim,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,92.473473,-78.349806
TRD-SIG-BT-00000008,SIG-BT-00000008,BTCUSDT,ema_trend_pullback_v1,bearish,short,1584046860000,1584046860000,5670.790000,5743.118088,5743.118088,5562.297868,0.10438599,591.951013,591.951013,599.501052,595.726032,1191.452064,5.000000,10.063772,5033.359227,7.550039,72.328088,127.544994,0.150000,0.117606,-7.550039,0.595726,0.000000,-8.145765,1.500000,1,stop_loss,etp_bearish_pullback_near_ema21_close_reclaim,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,181.317491,-137.608767
TRD-SIG-BT-00000009,SIG-BT-00000009,BTCUSDT,ema_trend_pullback_v1,bearish,short,1584049080000,1584049740000,5630.850000,5675.220622,5675.220622,5564.294067,0.16988313,956.586428,956.586428,964.124249,960.355339,1920.710677,5.000000,10.039400,5025.213462,7.537820,44.370622,78.799155,0.150000,0.190357,-7.537820,0.960355,0.000000,-8.498176,1.500000,12,stop_loss,etp_bearish_pullback_near_ema21_close_reclaim,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,108.198732,-88.838554
TRD-SIG-BT-0000000A,SIG-BT-0000000A,BTCUSDT,ema_trend_pullback_v1,bearish,short,1584059520000,1584059580000,4680.070000,4760.876691,4760.876691,4558.859963,0.09312438,435.828611,435.828611,443.353684,439.591148,879.182296,5.000000,10.086331,5016.715287,7.525073,80.806691,172.661288,0.150000,0.086875,-7.525073,0.439591,0.000000,-7.964664,1.500000,2,stop_loss,etp_bearish_pullback_near_ema21_close_reclaim,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,248.991932,-182.747618
