trade_id,signal_id,symbol,strategy_id,regime,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,qty,position_size_usd,entry_notional_usd,exit_notional_usd,avg_notional_usd,round_trip_notional_usd,fee_bps_on_combined_notional,fee_bps_on_entry_notional,equity_at_entry_usd,risk_amount_usd,risk_per_unit_usd,stop_distance_bps,risk_pct_of_equity,leverage_used,gross_pnl,fee,slippage,net_pnl,reward_risk,bars_held,exit_reason,entry_reason,filters_passed,filters_failed,expected_edge_bps,actual_edge_bps
TRD-SIG-BT-00000001,SIG-BT-00000001,BTCUSDT,mean_revert_v1,neutral,long,1652189820000,1652190120000,31840.200000,31718.106256,31718.106256,32178.795712,0.06142821,1955.886455,1955.886455,1948.386455,1952.136455,3904.272910,5.000000,9.980827,5000.000000,7.500000,122.093744,38.345784,0.150000,0.391177,-7.500000,1.952136,0.000000,-9.452136,2.773244,6,stop_loss,"mean_revert_v1_confirmed ext_atr=-2.77, wick=0.50, close_location=0.97, reversal_progress_atr=0.78, vol=1.78, atr_bps=38.3",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,96.342206,-48.326611
TRD-SIG-BT-00000002,SIG-BT-00000002,BTCUSDT,mean_revert_v1,neutral,long,1652259600000,1652259600000,31392.700000,31271.291581,31271.291581,31688.658999,0.06165818,1935.616662,1935.616662,1928.130841,1931.873752,3863.747503,5.000000,9.980663,4990.547864,7.485822,121.408419,38.674093,0.150000,0.387857,-7.485822,1.931874,0.000000,-9.417696,2.437714,1,stop_loss,"mean_revert_v1_confirmed ext_atr=-2.44, wick=0.55, close_location=0.81, reversal_progress_atr=0.36, vol=2.81, atr_bps=38.7",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,84.276376,-48.654756
TRD-SIG-BT-00000003,SIG-BT-00000003,BTCUSDT,mean_revert_v1,bullish,long,1653942420000,1653945420000,31184.300000,31556.037044,31077.499794,31556.037044,0.06995956,2181.639860,2181.639860,2207.646419,2194.643140,4389.286279,5.000000,10.059603,4981.130168,7.471695,106.800206,34.248069,0.150000,0.437981,26.006559,2.194643,0.000000,23.811916,3.480677,51,take_profit,"mean_revert_v1_confirmed ext_atr=-3.48, wick=0.67, close_location=0.88, reversal_progress_atr=0.24, vol=1.22, atr_bps=34.2",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,109.206474,109.146871
TRD-SIG-BT-00000004,SIG-BT-00000004,BTCUSDT,mean_revert_v1,bullish,long,1678799100000,1678799160000,26439.700000,26260.267613,26260.267613,27045.911645,0.04183979,1106.231459,1106.231459,1098.724046,1102.477752,2204.955505,5.000000,9.966068,5004.942084,7.507413,179.432387,67.864759,0.150000,0.221028,-7.507413,1.102478,0.000000,-8.609891,3.378496,2,stop_loss,"mean_revert_v1_confirmed ext_atr=-3.38, wick=0.39, close_location=0.80, reversal_progress_atr=0.59, vol=1.19, atr_bps=67.9",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,219.280833,-77.830827
