timestamp,equity,drawdown_pct
1577836800000,5000.000000,0.000000
1579917360000,4985.077597,0.298448
1582805460000,4971.667613,0.566648
1582849740000,4959.051484,0.818970
1583169300000,4943.972454,1.120551
1586256780000,4948.119811,1.037604
1652092680000,4938.675383,1.226492
1652101440000,4926.990335,1.460193
1652159400000,4918.179149,1.636417
1652161560000,4926.863476,1.462730
1652190120000,4919.241981,1.615160
1652259600000,4911.655148,1.766897
1652261760000,4902.964049,1.940719
1652411220000,4895.707130,2.085857
1653942660000,4887.812993,2.243740
1678799160000,4881.416394,2.371672
1679101140000,4871.828942,2.563421
1679238720000,4861.807567,2.763849
1679257320000,4853.135585,2.937288
1679270640000,4840.908348,3.181833
1679348760000,4827.614582,3.447708
1679358360000,4815.236288,3.695274
1679409900000,4824.098001,3.518040
1679432460000,4809.845209,3.803096
1679647320000,4797.374870,4.052503
1679665500000,4787.797287,4.244054
1679924820000,4775.717473,4.485651
1680148560000,4763.888569,4.722229
1680606660000,4751.774841,4.964503
1680701760000,4756.415865,4.871683
1680706920000,4744.114250,5.117715
1682551860000,4731.578384,5.368432
1682578500000,4721.529934,5.569401
1682908020000,4709.490424,5.810192
1683037860000,4700.479667,5.990407
1683503640000,4710.237887,5.795242
1692233040000,4722.974529,5.540509
1693330560000,4711.491943,5.770161
1693334100000,4697.563579,6.048728
1696202400000,4686.262666,6.274747
1696610880000,4672.536237,6.549275
