timestamp,equity,drawdown_pct
1577836800000,5000.000000,0.000000
1578414600000,5009.108175,0.000000
1578492300000,4999.764002,0.186544
1579021200000,5009.651285,0.000000
1579048500000,5000.711234,0.178457
1579057500000,4991.469665,0.362932
1579100400000,4982.374490,0.544485
1579249800000,4972.936365,0.732884
1582733700000,4982.532966,0.541322
1582779300000,4972.964793,0.732316
1582891800000,4982.282870,0.546314
1582917900000,4973.367995,0.724268
1583089200000,4982.589132,0.540200
1583720700000,4973.373992,0.724148
1583749200000,4963.747431,0.916308
1583766300000,4973.701920,0.717602
1583862900000,4964.383452,0.903612
1583916000000,4954.829858,1.094316
1583944200000,4945.518943,1.280176
1584031800000,4937.419376,1.441855
1584054600000,4948.084297,1.228968
1584223200000,4939.405856,1.402202
1584227100000,4949.589117,1.198929
1584239400000,4941.321588,1.363961
1584398100000,4933.266015,1.524762
1584534900000,4924.765717,1.694441
1585483800000,4915.404318,1.881308
1586784900000,4905.942579,2.070178
1586786400000,4896.783063,2.253016
1587665400000,4887.268472,2.442941
1588335000000,4878.342729,2.621112
1588346700000,4869.422893,2.799165
1588664100000,4859.997824,2.987303
1588781100000,4868.752240,2.812552
1589902800000,4859.310804,3.001017
1595945400000,4868.461381,2.818358
1596640500000,4877.405652,2.639817
1596644400000,4867.976273,2.828041
1597530300000,4858.577618,3.015652
1597672800000,4868.323125,2.821118
1604661300000,4859.345055,3.000333
1605196200000,4868.781318,2.811972
1605198300000,4859.796324,2.991325
1605686100000,4869.358673,2.800447
1605863400000,4860.216084,2.982946
1606140900000,4851.051753,3.165880
1606220100000,4842.261097,3.341354
1606234500000,4833.161477,3.522996
1606773600000,4824.480735,3.696276
1606782900000,4815.517739,3.875191
1608294000000,4806.682286,4.051559
1608408900000,4797.582266,4.233209
1608738300000,4788.896520,4.406589
1608914100000,4780.001728,4.584143
1609029000000,4789.329880,4.397939
1609067400000,4798.534624,4.214199
1609128000000,4789.679368,4.390963
1609243200000,4798.333125,4.218221
1609284900000,4807.171020,4.041804
1609297200000,4816.225232,3.861068
1609333500000,4807.190031,4.041424
1609335900000,4816.196439,3.861643
1609342500000,4807.195088,4.041323
1609347900000,4797.850390,4.227857
1609413000000,4788.939893,4.405724
1609734000000,4780.089466,4.582391
1609884900000,4789.672017,4.391109
1609931400000,4799.212775,4.200662
1609949400000,4790.805557,4.368482
1609977600000,4800.466149,4.175643
1610019900000,4809.579450,3.993728
1610034600000,4818.980664,3.806066
1610057100000,4810.893073,3.967506
1610094000000,4802.521626,4.134612
1610152500000,4794.251755,4.299691
1610263200000,4785.187029,4.480636
1610270700000,4776.042187,4.663181
1610608200000,4785.312664,4.478128
1610622900000,4776.722661,4.649598
1610652900000,4768.034204,4.823032
1610670900000,4777.450877,4.635061
1611058800000,4768.635521,4.811029
1612254300000,4759.382700,4.995729
1612256100000,4768.095494,4.821809
1612272300000,4758.997313,5.003422
1612279500000,4750.268824,5.177655
1612291800000,4758.962169,5.004123
1612311900000,4767.953576,4.824641
1612358400000,4777.006969,4.643922
1612371900000,4768.310595,4.817515
1612416900000,4759.376037,4.995862
1612426200000,4768.239945,4.818925
1612506900000,4759.119327,5.000986
1612520700000,4749.950600,5.184007
1612602900000,4740.877669,5.365116
1612622700000,4731.741814,5.547481
1612693200000,4722.785812,5.726256
1612816500000,4714.541691,5.890821
1612848900000,4706.243906,6.056457
1612858200000,4698.106242,6.218897
1612889700000,4690.039640,6.379918
1612900500000,4681.508740,6.550207
1612903800000,4672.998619,6.720082
1612905000000,4664.513541,6.889456
1612927500000,4656.014722,7.059105
1612943100000,4647.335310,7.232359
1613045400000,4639.024671,7.398252
1613295900000,4647.500494,7.229062
1613332500000,4638.541603,7.407895
1613574300000,4647.234932,7.234363
1613768700000,4656.350548,7.052402
1613918400000,4647.358704,7.231892
1615161900000,4638.735026,7.404034
1615378200000,4629.930463,7.579786
1615392000000,4621.168845,7.754680
1615404300000,4612.630183,7.925125
1615485000000,4604.149276,8.094416
1615574100000,4595.637012,8.264333
1616170800000,4586.970726,8.437325
1617019500000,4595.295815,8.271144
1618380900000,4586.479115,8.447138
1620526800000,4577.553316,8.625310
1623400500000,4569.295347,8.790152
1623410100000,4561.049876,8.954743
1623628800000,4569.358209,8.788897
1623634200000,4577.763668,8.621111
1623705600000,4569.287199,8.790314
1623726600000,4560.693836,8.961850
1624968600000,4552.367093,9.128064
1627421400000,4560.896614,8.957803
1627459200000,4552.472480,9.125961
1627466700000,4560.934592,8.957044
1627491000000,4569.157192,8.792909
1628230200000,4577.464035,8.627092
1628247300000,4568.779887,8.800441
1628366700000,4560.036969,8.974962
1628370300000,4551.388888,9.147591
1633103100000,4542.818201,9.318674
1633116000000,4534.160519,9.491494
1633551300000,4525.359377,9.667178
1633562400000,4516.650362,9.841023
1633614300000,4507.890830,10.015876
1643725500000,4516.007817,9.853849
1644091200000,4507.434279,10.024989
1644189600000,4515.653831,9.860915
1644247800000,4524.176159,9.690797
1644505200000,4533.149610,9.511674
1646132400000,4541.384376,9.347295
1647440100000,4549.946109,9.176391
1652135400000,4542.410987,9.326803
1652138700000,4551.693729,9.141506
1652323200000,4561.151292,8.952719
1652534100000,4569.435720,8.787349
1652719200000,4578.375679,8.608895
1652732100000,4569.509751,8.785872
1652916300000,4577.969561,8.617001
1653671100000,4569.192964,8.792195
1654959900000,4560.544238,8.964837
1654964400000,4552.310762,9.129189
1655127900000,4544.813136,9.278852
1655202600000,4536.995362,9.434907
1655214900000,4529.368885,9.587142
1655263800000,4538.169388,9.411471
1655279100000,4547.367181,9.227870
1655310600000,4556.533772,9.044891
1655370300000,4565.107260,8.873752
1655379000000,4557.181440,9.031963
1655386500000,4549.404225,9.187208
1655396700000,4541.453871,9.345908
1655437800000,4550.345246,9.168423
1655616000000,4559.451849,8.986642
1655901900000,4568.162955,8.812756
1655926500000,4576.837451,8.639600
1655928300000,4568.552471,8.804980
1655930100000,4577.489194,8.626590
1656440100000,4585.793866,8.460817
1656590100000,4576.950320,8.637347
1656621600000,4585.384829,8.468982
1657635300000,4576.555299,8.645232
1663692000000,4568.021778,8.815574
1663806300000,4559.644183,8.982803
1663863300000,4550.981310,9.155727
1667980800000,4559.366843,8.988339
1668008100000,4568.853689,8.798968
1668026700000,4561.310631,8.949538
1668076500000,4570.348050,8.769138
1668175200000,4578.924125,8.597947
1668442800000,4587.862542,8.419523
1668613800000,4579.135229,8.593733
1669067400000,4587.769450,8.421381
1679253600000,4579.227265,8.591896
1682561700000,4571.107765,8.753973
1682870400000,4579.495156,8.586548
1701873900000,4570.592937,8.764250
1704751200000,4561.824316,8.939284
1704983400000,4570.254776,8.771000
1709048400000,4561.816605,8.939438
1709329200000,4552.978481,9.115860
1709604000000,4544.368185,9.287734
1709649600000,4552.788297,9.119656
1709652000000,4544.925937,9.276601
1709725800000,4553.365030,9.108144
1710167700000,4544.895711,9.277204
1710252300000,4536.055465,9.453668
1716243600000,4544.306858,9.288958
1729088700000,4535.588366,9.462992
1730907000000,4527.142418,9.631586
1731337500000,4535.674869,9.461266
1731459300000,4526.969162,9.635044
1731584100000,4518.167223,9.810744
1732114500000,4509.497540,9.983804
1737386100000,4501.244799,10.148540
1764773100000,4492.842699,10.316259
1765395300000,4484.658094,10.479635
