trade_id,signal_id,symbol,strategy_id,regime,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,qty,position_size_usd,entry_notional_usd,exit_notional_usd,avg_notional_usd,round_trip_notional_usd,fee_bps_on_combined_notional,fee_bps_on_entry_notional,equity_at_entry_usd,risk_amount_usd,risk_per_unit_usd,stop_distance_bps,risk_pct_of_equity,leverage_used,gross_pnl,fee,slippage,net_pnl,reward_risk,bars_held,exit_reason,entry_reason,filters_passed,filters_failed,expected_edge_bps,actual_edge_bps
TRD-SIG-BT-00000001,SIG-BT-00000001,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578413700000,1578414600000,7861.560000,7902.961818,7833.958788,7902.961818,0.27172720,2136.199661,2136.199661,2147.449661,2141.824661,4283.649321,5.000000,10.026332,5000.000000,7.500000,27.601212,35.109078,0.150000,0.427240,11.250000,2.141825,0.000000,9.108175,1.500000,4,take_profit,"bullish momentum follow-through, body_ratio=0.64, body_atr=1.09, close_location=0.88, reclaim_distance_atr=0.00, volume_ratio=2.07, atr_bps=35.1",screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,42.663617,42.637285
TRD-SIG-BT-00000002,SIG-BT-00000002,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578490500000,1578492300000,8384.620000,8350.274312,8350.274312,8436.138533,0.21876581,1834.268162,1834.268162,1826.754500,1830.511331,3661.022662,5.000000,9.979519,5009.108175,7.513662,34.345688,40.962725,0.150000,0.366187,-7.513662,1.830511,0.000000,-9.344174,1.500000,7,stop_loss,"bullish momentum follow-through, body_ratio=0.70, body_atr=2.10, close_location=0.77, reclaim_distance_atr=0.00, volume_ratio=4.54, atr_bps=41.0",screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,51.444088,-50.942244
TRD-SIG-BT-00000003,SIG-BT-00000003,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1579021200000,1579021200000,8684.810000,8756.830002,8636.796665,8756.830002,0.15619923,1356.560651,1356.560651,1367.810120,1362.185385,2724.370770,5.000000,10.041463,4999.764002,7.499646,48.013335,55.284266,0.150000,0.271325,11.249469,1.362185,0.000000,9.887284,1.500000,1,take_profit,"bullish momentum follow-through, body_ratio=0.74, body_atr=1.24, close_location=0.85, reclaim_distance_atr=0.00, volume_ratio=1.40, atr_bps=55.3",screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,72.926399,72.884936
TRD-SIG-BT-00000004,SIG-BT-00000004,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1579047300000,1579048500000,8856.240000,8809.679765,8809.679765,8926.080353,0.16139259,1429.331510,1429.331510,1421.817033,1425.574271,2851.148543,5.000000,9.973713,5009.651285,7.514477,46.560235,52.573366,0.150000,0.285316,-7.514477,1.425574,0.000000,-8.940051,1.500000,5,stop_loss,"bullish momentum follow-through, body_ratio=0.77, body_atr=1.40, close_location=0.87, reclaim_distance_atr=0.00, volume_ratio=1.66, atr_bps=52.6",screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,68.860050,-62.547080
TRD-SIG-BT-00000005,SIG-BT-00000005,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1579054200000,1579057500000,8826.480000,8788.522199,8788.522199,8883.416702,0.19761595,1744.253201,1744.253201,1736.752134,1740.502667,3481.005334,5.000000,9.978498,5000.711234,7.501067,37.957801,43.004461,0.150000,0.348801,-7.501067,1.740503,0.000000,-9.241570,1.500000,12,stop_loss,"bullish momentum follow-through, body_ratio=0.86, body_atr=1.16, close_location=0.89, reclaim_distance_atr=0.00, volume_ratio=1.29, atr_bps=43.0",screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,54.506691,-52.982959
TRD-SIG-BT-00000006,SIG-BT-00000006,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1579098300000,1579100400000,8860.000000,8818.840939,8818.840939,8921.738592,0.18190902,1611.713920,1611.713920,1604.226716,1607.970318,3215.940636,5.000000,9.976773,4991.469665,7.487204,41.159061,46.454922,0.150000,0.322894,-7.487204,1.607970,0.000000,-9.095175,1.500000,8,stop_loss,"bullish momentum follow-through, body_ratio=0.91, body_atr=1.12, close_location=0.91, reclaim_distance_atr=0.00, volume_ratio=1.43, atr_bps=46.5",screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,59.682383,-56.431695
TRD-SIG-BT-00000007,SIG-BT-00000007,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1579248900000,1579249800000,8985.000000,8950.884288,8950.884288,9036.173567,0.21906510,1968.299917,1968.299917,1960.826355,1964.563136,3929.126272,5.000000,9.981015,4982.374490,7.473562,34.115712,37.969629,0.150000,0.395053,-7.473562,1.964563,0.000000,-9.438125,1.500000,4,stop_loss,"bullish momentum follow-through, body_ratio=0.72, body_atr=1.42, close_location=0.78, reclaim_distance_atr=0.09, volume_ratio=1.71, atr_bps=38.0",screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,46.954443,-47.950644
TRD-SIG-BT-00000008,SIG-BT-00000008,BTCUSDT,screened_vwap_scalp_v2,bearish,short,1582733400000,1582733700000,8930.540000,8868.012791,8972.224806,8868.012791,0.17894781,1598.100545,1598.100545,1586.911438,1592.505992,3185.011984,5.000000,9.964992,4972.936365,7.459405,41.684806,46.676691,0.150000,0.321360,11.189107,1.592506,0.000000,9.596601,1.500000,2,take_profit,"bearish momentum follow-through, body_ratio=0.98, body_atr=2.05, close_location=1.00, reject_distance_atr=0.00, volume_ratio=2.94, atr_bps=46.7",screening_bearish|confirmation_bearish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,60.015037,60.050044
TRD-SIG-BT-00000009,SIG-BT-00000009,BTCUSDT,screened_vwap_scalp_v2,bearish,short,1582778400000,1582779300000,8684.350000,8715.395611,8715.395611,8637.781584,0.24073611,2090.636609,2090.636609,2098.110408,2094.373508,4188.747017,5.000000,10.017874,4982.532966,7.473799,31.045611,35.748917,0.150000,0.419593,-7.473799,2.094374,0.000000,-9.568173,1.500000,4,stop_loss,"bearish momentum follow-through, body_ratio=0.77, body_atr=1.60, close_location=0.86, reject_distance_atr=0.00, volume_ratio=2.05, atr_bps=35.7",screening_bearish|confirmation_bearish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,43.623375,-45.766791
TRD-SIG-BT-00000010,SIG-BT-00000010,BTCUSDT,screened_vwap_scalp_v2,bearish,short,1582891500000,1582891800000,8559.220000,8508.188315,8593.241124,8508.188315,0.21925928,1876.688451,1876.688451,1865.499280,1871.093865,3742.187731,5.000000,9.970189,4972.964793,7.459447,34.021124,39.747925,0.150000,0.377378,11.189171,1.871094,0.000000,9.318077,1.500000,2,take_profit,"bearish momentum follow-through, body_ratio=0.64, body_atr=1.01, close_location=0.94, reject_distance_atr=0.00, volume_ratio=1.97, atr_bps=39.7",screening_bearish|confirmation_bearish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,49.621888,49.651699
