bucket,trades,wins,losses,win_rate,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,avg_net_pnl_bps,net_pnl
edge_lt_0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
edge_0_5,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
edge_5_10,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
edge_10_15,621,281,340,45.249597,12.261714,-10.160105,-22.421819,10.000146,-10.160105,-1349.735910
edge_15_20,419,203,216,48.448687,17.382497,-8.481923,-25.864419,10.000240,-8.481923,-711.843209
edge_20_30,509,229,280,44.990177,24.173311,-10.390287,-34.563598,10.000775,-10.390287,-797.371226
edge_30_50,341,140,201,41.055718,37.526074,-14.259105,-51.785179,9.997492,-14.259105,-603.625278
edge_gte_50,145,73,72,50.344828,75.521119,-7.349590,-82.870709,9.998397,-7.349590,-52.293067
