timestamp,equity,drawdown_pct
1577836800000,5000.000000,0.000000
1577983500000,5019.569643,0.000000
1578213900000,5009.346455,0.203667
1578318300000,4999.058488,0.408624
1578325500000,4989.480126,0.599444
1578347100000,5008.605929,0.218419
1578390300000,4998.690739,0.415950
1578399300000,4989.003454,0.608940
1578487500000,4980.104772,0.786220
1578693600000,4971.688640,0.953887
1578837600000,4982.251032,0.743462
1578882600000,4972.455658,0.938606
1579005000000,4963.154450,1.123905
1579095900000,4983.979739,0.709023
1579107600000,4975.475350,0.878448
1579133700000,4966.428700,1.058675
1579230900000,4986.446765,0.659875
1579290300000,4977.456301,0.838983
1579305600000,4968.571867,1.015979
1579320000000,4959.480286,1.197102
1579364100000,4949.719104,1.391564
1579393800000,4968.941008,1.008625
1579680000000,4958.821260,1.210231
1580291100000,4949.079964,1.404297
1580328900000,4939.817508,1.588824
1580382000000,4930.243323,1.779561
1580392800000,4920.521530,1.973239
1580405400000,4941.185714,1.561567
1580536800000,4940.742712,1.570392
1580544000000,4930.710986,1.770245
1580601600000,4920.188062,1.979883
1580662800000,4910.551751,2.171857
1580972400000,4901.139865,2.359361
1581019200000,4899.876533,2.384529
1581053400000,4890.611062,2.569116
1581093000000,4881.165352,2.757294
1581169500000,4871.185674,2.956109
1581192000000,4876.311971,2.853983
1581464700000,4867.118808,3.037130
1581519600000,4858.176563,3.215277
1581547500000,4848.843515,3.401210
1581569100000,4839.402708,3.589290
1581653700000,4830.129953,3.774023
1581729300000,4820.356547,3.968729
1582132500000,4840.104736,3.575305
1582985700000,4860.186841,3.175228
1583000100000,4851.315159,3.351970
1583054100000,4842.233810,3.532889
1583348400000,4832.889003,3.719057
1583671500000,4851.738692,3.343533
1583756100000,4858.864810,3.201566
1583771400000,4850.749470,3.363240
1583946000000,4871.099013,2.957836
1585485000000,4862.497008,3.129205
1585510200000,4882.936400,2.722011
1586786400000,4874.314998,2.893767
1586974500000,4865.460371,3.070169
1587723300000,4856.326834,3.252128
1587814200000,4846.820112,3.441521
1587829500000,4837.280190,3.631575
1587945600000,4856.947127,3.239770
1587988800000,4847.591860,3.426146
1588027500000,4866.717893,3.045117
1588082400000,4856.613954,3.246408
1588136400000,4876.489412,2.850448
1588759200000,4887.638228,2.628341
1588850100000,4885.374554,2.673438
1588857300000,4905.544294,2.271616
1588963500000,4896.791097,2.445997
1588977900000,4887.795097,2.625216
1589436000000,4908.152572,2.219654
1589705100000,4898.847281,2.405034
1589781600000,4890.180160,2.577701
1589974200000,4881.264848,2.755312
1589986800000,4871.866844,2.942539
1590701400000,4862.702090,3.125120
1590705900000,4882.300137,2.734687
1590740100000,4873.075062,2.918469
1590931800000,4863.689966,3.105439
1591044300000,4883.170019,2.717357
1591098300000,4873.386994,2.912255
1591331400000,4864.064746,3.097973
1591604100000,4854.343922,3.291631
1591736400000,4872.727792,2.925387
1591773300000,4861.699364,3.145096
1592899200000,4850.695029,3.364325
1592982900000,4839.153410,3.594257
1593227700000,4829.262280,3.791308
1593267300000,4818.397780,4.007751
1593324000000,4808.226538,4.210383
1593423000000,4797.634115,4.421405
1593433800000,4787.296727,4.627347
1593754200000,4775.648442,4.859405
1593869400000,4761.799781,5.135298
1593878400000,4748.157223,5.407085
1593965700000,4737.684348,5.615726
1594934100000,4726.230416,5.843912
1594978200000,4713.528618,6.096957
1595504700000,4716.337340,6.041002
1595511000000,4703.509790,6.296553
1595670300000,4693.121181,6.503515
1595683800000,4681.866869,6.727724
1595867400000,4701.713022,6.332348
1596033000000,4721.625059,5.935660
1596056400000,4728.632247,5.796063
1596209400000,4748.054114,5.409140
1596235500000,4739.560787,5.578344
1596287700000,4731.185555,5.745195
1596720600000,4750.448323,5.361442
1596935700000,4741.320965,5.543278
1597054500000,4731.963620,5.729695
1597410000000,4722.530426,5.917623
1597480200000,4713.111004,6.105277
1597527900000,4703.414328,6.298455
1597623300000,4693.543986,6.495092
1597671900000,4713.290076,6.101710
1597707000000,4704.456290,6.277697
1599374700000,4696.434732,6.437502
1599466500000,4687.868085,6.608167
1600754400000,4679.155069,6.781748
1600763400000,4670.081851,6.962505
1602072000000,4659.479624,7.173723
1602140400000,4675.008442,6.864357
1602295200000,4691.925521,6.527335
1602367200000,4681.667416,6.731697
