trade_id,signal_id,symbol,strategy_id,regime,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,net_pnl,reward_risk,bars_held,exit_reason,entry_reason,filters_passed,filters_failed,expected_edge_bps,actual_edge_bps
TRD-SIG-BT-00000002,SIG-BT-00000002,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1584179940000,1584180120000,5215.196752,5245.487844,5244.438957,5169.168251,0.42746435,-12.948362,1.788628,2.454831,-17.191821,1.574043,4,stop_loss,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,75.258417,-77.117205
TRD-SIG-BT-00000003,SIG-BT-00000003,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1585469700000,1585471260000,6105.388678,6121.405540,6120.181504,6082.666503,0.84209875,-13.487780,4.118467,5.658171,-23.264418,1.536027,27,stop_loss,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,24.216591,-45.249716
TRD-SIG-BT-00000004,SIG-BT-00000004,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1586634600000,1586635080000,6790.631602,6801.312705,6799.952714,6775.427130,1.33019096,-14.207907,7.231953,9.938962,-31.378821,1.631186,9,stop_loss,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,9.390365,-34.738611
TRD-SIG-BT-00000006,SIG-BT-00000006,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1652234040000,1652234100000,30779.042960,30845.034646,30838.866872,30666.316891,0.20594461,-13.590632,5.076459,6.975374,-25.642464,1.884298,2,stop_loss,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,23.624293,-40.453324
TRD-SIG-BT-00000008,SIG-BT-00000008,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1652526000000,1652526360000,29307.737280,29350.661838,29344.792880,29229.514090,0.33075450,-14.197491,7.760612,10.665872,-32.623974,2.110968,7,stop_loss,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,13.690286,-33.654939
TRD-SIG-BT-00000009,SIG-BT-00000009,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1652709300000,1652710140000,29572.584300,29694.152430,29688.214787,29354.113594,0.10529011,-12.799921,2.496080,3.427630,-18.723632,1.889387,15,stop_loss,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,60.876095,-60.133052
TRD-SIG-BT-0000000C,SIG-BT-0000000C,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1653612780000,1653613440000,29114.475940,29009.387249,29180.116368,29003.586531,0.18476323,19.416526,4.295661,3.223688,11.897176,1.689346,12,take_profit,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,25.087379,22.116652
TRD-SIG-BT-0000000D,SIG-BT-0000000D,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1653663660000,1653663720000,28767.645320,28659.105484,28831.439434,28653.374809,0.19057683,20.685178,4.377683,3.285332,13.022163,1.791239,2,take_profit,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,26.721885,23.752466
TRD-SIG-BT-0000000F,SIG-BT-0000000F,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1654733520000,1654733580000,30147.969200,30198.872051,30192.833484,30073.954943,0.27171358,-13.830996,6.558823,9.013540,-29.403359,1.649737,2,stop_loss,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,11.550329,-35.894468
TRD-SIG-BT-00000010,SIG-BT-00000010,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1655033340000,1655033640000,27369.425020,27413.089821,27407.608299,27310.392882,0.31733071,-13.856182,6.953670,9.556446,-30.366298,1.546021,6,stop_loss,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,8.568644,-34.963433
TRD-SIG-BT-00000011,SIG-BT-00000011,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1655087100000,1655087280000,25523.494280,25645.423741,25640.295682,25334.263440,0.10308790,-12.569452,2.109959,2.896793,-17.576204,1.620108,4,stop_loss,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,61.139864,-66.800122
TRD-SIG-BT-00000012,SIG-BT-00000012,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1655170440000,1655170860000,21267.645620,21016.460466,21431.454148,21012.258014,0.07323716,18.396087,1.238707,0.930871,16.226509,1.559062,8,take_profit,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,107.082688,104.177564
TRD-SIG-BT-00000013,SIG-BT-00000013,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1655376360000,1655376780000,20933.712420,21004.997950,21000.797791,20824.034263,0.17943461,-12.791091,3.010102,4.134413,-19.935607,1.634904,8,stop_loss,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,39.393075,-53.073411
TRD-SIG-BT-00000014,SIG-BT-00000014,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1655395860000,1655396160000,20970.505060,20862.042444,21032.924796,20857.870870,0.19204820,20.830050,3.213546,2.412244,15.204261,1.804464,6,take_profit,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,40.710766,37.752539
TRD-SIG-BT-00000015,SIG-BT-00000015,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1655924340000,1655924640000,20200.359120,20244.269165,20240.221121,20135.195099,0.30168101,-13.246827,4.880551,6.706120,-24.833498,1.634740,6,stop_loss,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,19.258843,-40.750301
TRD-SIG-BT-00000016,SIG-BT-00000016,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1656577740000,1656579120000,19315.736080,19239.065741,19359.095961,19235.218697,0.27591231,21.154291,4.255098,3.193440,13.705753,1.856956,24,take_profit,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,28.684864,25.717015
TRD-SIG-BT-0000001A,SIG-BT-0000001A,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1658750880000,1658750880000,21918.515420,21880.099446,21943.560471,21875.724302,0.47904832,18.403107,8.392661,6.296337,3.714109,1.708566,1,take_profit,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,6.522818,3.537238
TRD-SIG-BT-0000001B,SIG-BT-0000001B,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1658795220000,1658795880000,21095.480060,20982.542805,21163.404284,20978.347136,0.17677161,19.964101,2.975280,2.233457,14.755364,1.724465,12,take_profit,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,42.525129,39.568353
TRD-SIG-BT-0000001C,SIG-BT-0000001C,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1659305460000,1659305820000,23502.798500,23429.141985,23548.159473,23424.457094,0.26551377,19.556819,4.984431,3.740280,10.832109,1.727066,7,take_profit,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,20.332799,17.358268
TRD-SIG-BT-0000001D,SIG-BT-0000001D,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1660731540000,1660732380000,23743.550340,23782.062328,23777.306867,23691.706747,0.35759139,-13.771555,6.797900,9.342292,-29.911747,1.535809,15,stop_loss,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,8.834811,-35.229710
TRD-SIG-BT-0000001E,SIG-BT-0000001E,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1661537520000,1661537520000,20611.376900,20642.179173,20638.051563,20541.534323,0.44972505,-13.852554,7.421103,10.199168,-31.472825,2.618312,1,stop_loss,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,20.885449,-33.953272
TRD-SIG-BT-00000020,SIG-BT-00000020,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1666199640000,1666199640000,19121.075020,19145.591423,19141.763071,19079.537901,0.57606113,-14.122947,8.817576,12.119223,-35.059746,2.007783,1,stop_loss,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,8.723213,-31.829359
TRD-SIG-BT-00000021,SIG-BT-00000021,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1666289820000,1666289940000,19041.091020,19065.946228,19062.133802,19000.549824,0.56218483,-13.973221,8.569279,11.777868,-34.320368,1.926608,3,stop_loss,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,8.291425,-32.061290
TRD-SIG-BT-00000022,SIG-BT-00000022,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1666942680000,1666943100000,20166.065980,20125.920235,20192.973713,20121.895856,0.43645935,17.521986,7.034326,5.277497,5.210163,1.641540,8,take_profit,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,8.903193,5.919518
TRD-SIG-BT-00000024,SIG-BT-00000024,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1667999760000,1668000000000,17390.121280,17512.664900,17509.163067,17208.801964,0.09876496,-12.103015,1.378869,1.891708,-15.373592,1.523157,5,stop_loss,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,91.265700,-89.509653
TRD-SIG-BT-00000025,SIG-BT-00000025,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1668076860000,1668077400000,16492.600820,16388.492312,16539.081981,16385.215269,0.25211769,26.247597,3.315962,2.489597,20.442037,2.310303,10,take_profit,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,52.111350,49.162244
TRD-SIG-BT-00000026,SIG-BT-00000026,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1668229680000,1668229860000,16744.550420,16686.771737,16778.028391,16683.435050,0.35156934,20.313213,4.701371,3.528061,12.083781,1.825540,4,take_profit,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,23.498663,20.526664
TRD-SIG-BT-0000002C,SIG-BT-0000002C,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1675697340000,1675697820000,22763.946300,22798.835830,22794.276974,22717.071463,0.38904633,-13.573644,7.090413,9.744567,-30.408624,1.545460,9,stop_loss,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,7.591701,-34.335857
TRD-SIG-BT-0000002D,SIG-BT-0000002D,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1677075480000,1677076260000,23976.303780,24022.806204,24018.002603,23905.929666,0.28115940,-13.074593,5.398160,7.417894,-25.890648,1.687676,14,stop_loss,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,16.351528,-38.406796
TRD-SIG-BT-0000002E,SIG-BT-0000002E,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1678444500000,1678444800000,19799.939220,19733.924056,19845.619273,19729.978060,0.25523809,16.849584,4.036219,3.028850,9.784515,1.531547,6,take_profit,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,22.334028,19.361098
TRD-SIG-BT-00000030,SIG-BT-00000030,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1682103180000,1682103720000,27814.635960,27755.391061,27847.481181,27749.841092,0.35572148,21.074683,7.906981,5.932344,7.235358,1.972733,10,take_profit,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,10.295242,7.312680
TRD-SIG-BT-00000031,SIG-BT-00000031,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1683647940000,1683648900000,27400.418820,27452.316621,27446.827256,27325.433230,0.25214897,-13.085977,5.532424,7.602503,-26.220904,1.615775,17,stop_loss,vwap_reclaim_short_v2_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,14.366585,-37.951878
