month,trades,wins,losses,win_rate,gross_pnl,fee,slippage,total_cost,net_pnl,profit_factor,avg_win,avg_loss,expectancy,max_consecutive_losses,avg_reward_risk,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,take_profit_count,stop_loss_count,time_exit_count,end_of_backtest_count
2020-01,5,1,4,20.000000,-5.784370,34.535902,0.000000,34.535902,-40.320273,0.806886,16.133689,-14.113490,-8.064055,3,2.577291,18.687913,-13.952602,-32.640515,10.001975,1,4,0,0
2020-02,5,1,4,20.000000,-15.090243,30.985272,0.000000,30.985272,-46.075515,0.491795,10.650167,-14.181421,-9.215103,4,2.370631,19.259571,-11.634574,-30.894145,9.991804,1,4,0,0
2020-03,1,1,0,100.000000,28.205621,7.178197,0.000000,7.178197,21.027424,inf,21.027424,0.000000,21.027424,0,3.826875,29.370813,29.351128,-0.019685,10.019685,1,0,0,0
2022-05,11,3,8,27.272727,3.273089,30.401858,0.000000,30.401858,-27.128769,1.055520,18.063233,-10.164808,-2.466252,4,2.966765,76.830730,-9.010704,-85.841433,10.005969,3,8,0,0
2023-03,29,5,24,17.241379,-109.363495,143.688006,0.000000,143.688006,-253.051500,0.367581,9.243228,-12.469485,-8.725914,9,2.634820,38.449815,-17.385123,-55.834938,9.998747,4,24,1,0
2023-04,18,4,14,22.222222,-31.453301,106.657248,0.000000,106.657248,-138.110549,0.672944,10.257293,-12.795694,-7.672808,6,2.641510,25.836258,-15.826270,-41.662529,9.996993,4,14,0,0
2023-05,7,2,5,28.571429,9.570936,41.651103,0.000000,41.651103,-32.080166,1.283437,14.754476,-12.317824,-4.582881,4,3.251228,31.499381,-10.310501,-41.809881,10.003721,2,5,0,0
2023-06,1,1,0,100.000000,13.376173,6.102463,0.000000,6.102463,7.273710,inf,7.273710,0.000000,7.273710,0,1.988611,11.943352,11.932380,-0.010972,10.010972,1,0,0,0
2023-08,3,1,2,33.333333,8.855684,19.687603,0.000000,19.687603,-10.831918,1.656064,13.547849,-12.189884,-3.610639,2,2.771465,18.717519,-10.006911,-28.724431,9.991541,1,2,0,0
2023-10,7,2,5,28.571429,19.863319,57.587621,0.000000,57.587621,-37.724302,1.591189,15.341670,-13.681528,-5.389186,4,3.382665,19.099104,-10.581585,-29.680689,9.999709,2,5,0,0
